Filename,Caption,CaptionWithAccents
20260421_200511.jpg,Mountains of Kitzbühel,on the road
20260423_211201.jpg,late evening stroll in Kitzbühel,late evening stroll in Kitzbühel
20260424_165828.jpg,Exploring Munich,Exploring Munich
20260425_105458.jpg,Badge detailing on Porsches,Badge detailing on Porsches
20260425_111141.jpg,Porsche Racing,framed
20260425_120114.jpg,The 911,moment
20260425_124242.jpg,a visit to the Porsche museum,a visit to the Porsche museum
20260426_115104.jpg,Brunch near the mountains of Innsbruck,Brunch near the mountains of Innsbruck
20260427_154100.jpg,View from the top of Innsbruck,View from the top of Innsbruck
20260427_163003.jpg,Mountains guarding Innsbruck,Mountains guarding Innsbruck
20260427_175940.jpg,golden hour,golden hour
20260428_190024.jpg,dusk,dusk
20260428_195252.jpg,Streets of Vienna,last light
20260430_163622.jpg,detailing at the Schönbrunn,detailing at the Schönbrunn
20260430_183200.jpg,Viennese Architecture,Viennese Architecture
